3307.500	1524	321
3307.600	1653	454
3307.700	1224	531
3307.800	300	508
3307.900	-570	400
3308.000	-868	273
3308.100	-557	189
3308.200	1051	275
3308.300	1620	409
3308.400	1790	547
3308.500	1066	599
3308.600	103	549
3308.700	-590	435
3308.800	-727	318
3308.900	-251	261
3309.000	1367	372
3309.100	1719	506
3309.200	1395	595
3309.300	676	603
3309.400	-152	527
3309.500	-623	412
3309.600	-647	305
3309.700	-62	268
3309.800	1488	390
3309.900	1580	509
3310.000	1128	571
3310.100	368	551
3310.200	-506	445
3310.300	-857	314
3310.400	-641	218
3310.500	928	289
3310.600	1378	398
3310.700	1326	491
3310.800	751	517
3310.900	-1	465
3311.000	-605	358
3311.100	-752	247
3311.200	-385	184
3311.300	1098	275
3311.400	1439	391
3311.500	1276	480
3311.600	639	496
3311.700	3564	803
3311.800	17366	2459
3311.900	25767	4790
3312.000	18190	6130
3312.100	20016	7519
3312.200	22766	9044
3312.300	29627	11102
3312.400	34292	13420
3312.500	33109	15389
3312.600	30775	16928
3312.700	29548	18190
3312.800	32261	19597
3312.900	27999	20437
3313.000	20820	20475
3313.100	18907	20318
3313.200	14433	19729
3313.300	7673	18523
3313.400	7492	17419
3313.500	5930	16270
3313.600	5488	15192
3313.700	4337	14106
3313.800	951	12790
3313.900	1419	11653
3314.000	-32	10484
3314.100	-2850	9150
3314.200	-2321	8003
3314.300	-8623	6340
3314.400	-13248	4381
3314.500	-16453	2298
3314.600	-19568	111
3314.700	-20465	-1946
3314.800	-21276	-3879
3314.900	-22840	-5775
3315.000	-21974	-7395
3315.100	-17054	-8361
3315.200	-16414	-9166
3315.300	-12647	-9515
3315.400	-16165	-10180
3315.500	-18497	-11012
3315.600	-15824	-11493
3315.700	-17322	-12076
3315.800	-18021	-12671
3315.900	-23881	-13792
3316.000	-30890	-15502
3316.100	-33536	-17305
3316.200	-36327	-19208
3316.300	-35435	-20831
3316.400	-30970	-21845
3316.500	-30550	-22716
3316.600	-30743	-23519
3316.700	-30409	-24208
3316.800	-31717	-24960
3316.900	-30796	-25543
3317.000	-29364	-25925
3317.100	-29220	-26255
3317.200	-26052	-26235
3317.300	-23874	-25999
3317.400	-24439	-25843
3317.500	-24911	-25750
3317.600	-29002	-26075
3317.700	-32152	-26683
3317.800	-37016	-27717
3317.900	-42331	-29179
3318.000	-45099	-30771
3318.100	-49531	-32647
3318.200	-45572	-33940
3318.300	-41680	-34714
3318.400	-41557	-35399
3318.500	-40281	-35887
3318.600	-38555	-36154
3318.700	-39035	-36442
3318.800	-38585	-36656
3318.900	-48367	-37828
3319.000	-51949	-39241
3319.100	-55382	-40855
3319.200	-57817	-42552
3319.300	-54141	-43711
3319.400	-50064	-44346
3319.500	-49285	-44840
3319.600	-47339	-45090
3319.700	-46662	-45247
